pop_generation 70 1
values 1 -2.32853508 2.00553131 
values 2 0.463508606 -2.69054031 
values 3 -4.08056259 0.44550705 
values 4 2.89554596 4.86157608 
values 5 3.18754959 5.12157822 
values 6 5.44358444 2.64154053 
values 7 -1.90852928 9.56164551 
values 8 -9.83632565 9.43764496 
values 9 3.2995491 11.5056763 
values 10 -14.9527283 3.3335495 
values 11 -1.17747688 -4.92537117 
values 12 -10.9920902 -14.2826672 
values 13 -13.4607067 6.45759964 
values 14 3.09554672 -16.506752 
values 15 -4.79805088 -17.4147663 
values 16 13.7397118 32.7680016 
values 17 31.9799843 -24.9028816 
values 18 -32.7680016 11.2856712 
values 19 30.2719612 5.06157684 
values 20 31.1679764 -22.0348358 
values 21 23.8598671 3.77755737 
values 22 -4.62057114 18.8177872 
values 23 -30.9649734 -8.23062706 
values 24 -1.91252899 25.7178955 
values 25 21.4438286 -2.86254501 
values 26 26.8119087 8.20162582 
values 27 -10.4366589 -17.7827721 
values 28 -20.8648186 26.7979088 
values 29 21.2518234 -13.8067112 
values 30 18.6477852 31.1819763 
values 31 -28.2929325 13.0016975 
values 32 -29.1009445 32.7680016 
values 33 11.3556709 -20.8228188 
values 34 -16.7167568 -15.294733 
values 35 25.2078857 -1.30651855 
values 36 16.5590324 -1.04651642 
values 37 13.7437096 -32.1629906 
values 38 9.02363586 26.4779053 
values 39 32.2199898 -11.2226734 
values 40 14.9597282 -28.3869343 
values 41 19.6377068 15.2890511 
values 42 15.5378304 -1.845842 
values 43 32.7640038 19.7858009 
values 44 7.89608002 -32.178009 
values 45 -21.4688282 -24.0148678 
values 46 -16.5847549 -24.1548691 
values 47 -31.4889812 32.7680016 
values 48 -21.6248322 16.2457466 
values 49 -2.68254089 -24.2148705 
values 50 19.4857979 -27.6109238 
values 51 32.4538231 -19.6905231 
values 52 3.2995491 17.3413658 
values 53 27.1479187 27.3539162 
values 54 14.519722 -20.6988182 
values 55 27.8599281 -30.3669643 
values 56 -29.8529568 22.3858452 
values 57 -28.3409348 10.2656555 
values 58 26.2559013 25.6618958 
values 59 -24.6288776 -2.58696556 
values 60 32.5320015 -26.2069016 
values 61 -1.90852928 5.33158302 
values 62 -28.5689373 13.6537094 
values 63 -24.3528728 24.5898743 
values 64 8.05273247 -0.59244287 
values 65 -31.4169807 -17.6107693 
values 66 -23.6408615 32.4059944 
values 67 18.6477852 12.1540861 
values 68 23.5438576 -30.618969 
values 69 -27.516922 24.4658737 
values 70 2.89554596 9.09163857 
pop_generation 70 2
values 1 -2.32853508 2.00553131 
values 2 0.463508606 -2.69054031 
values 3 -4.08056259 0.44550705 
values 4 -1.17747688 -4.92537117 
values 5 2.89554596 4.86157608 
values 6 3.18754959 5.12157822 
values 7 -1.90852928 5.33158302 
values 8 5.44358444 2.64154053 
values 9 2.89554596 9.09163857 
values 10 8.05273247 -5.89258957 
values 11 -1.90852928 9.56164551 
values 12 -19.9423847 12.6757011 
values 13 -9.83632565 9.43764496 
values 14 -14.9527283 3.3335495 
values 15 18.635788 -14.2826672 
values 16 -32.7680016 -1.845842 
values 17 16.5590324 -1.04651642 
values 18 -13.4607067 6.45759964 
values 19 3.09554672 -16.506752 
values 20 31.9799843 -24.9028816 
values 21 -4.79805088 -24.484726 
values 22 3.2995491 17.3413658 
values 23 31.1679764 -22.0348358 
values 24 23.8598671 3.77755737 
values 25 -4.62057114 18.8177872 
values 26 7.89608002 -23.2488556 
values 27 -30.9649734 -8.23062706 
values 28 -1.91252899 25.7178955 
values 29 18.6477852 12.1540861 
values 30 21.4438286 -2.86254501 
values 31 26.8119087 8.20162582 
values 32 -10.4366589 -17.7827721 
values 33 -20.8648186 26.7979088 
values 34 30.2719612 -32.7680016 
values 35 21.2518234 -13.8067112 
values 36 -28.2929325 13.0016975 
values 37 -29.1009445 32.7680016 
values 38 11.3556709 -20.8228188 
values 39 -16.7167568 26.3054752 
values 40 -2.68254089 -24.2148705 
values 41 25.2078857 -1.30651855 
values 42 13.7437096 -32.1629906 
values 43 20.9808044 29.4187927 
values 44 -19.5487976 -11.2226734 
values 45 14.9597282 -28.3869343 
values 46 32.7640038 19.7858009 
values 47 19.6377068 15.2890511 
values 48 -21.4688282 -24.0148678 
values 49 -16.5847549 -24.1548691 
values 50 13.7397118 32.7680016 
values 51 -21.6248322 16.2457466 
values 52 -32.7680016 11.2856712 
values 53 31.9658318 -3.20503807 
values 54 -32.7680016 -20.6988182 
values 55 -24.6288776 -2.58696556 
values 56 31.976038 -31.4965611 
values 57 -11.2543764 5.73457623 
values 58 18.6477852 31.1819763 
values 59 -28.3409348 14.3709869 
values 60 2.89554596 4.86157608 
values 61 -19.9680824 -26.2069016 
values 62 -28.5689373 13.6537094 
values 63 -31.4889812 32.7680016 
values 64 -24.3528728 24.5898743 
values 65 32.4538231 -19.6905231 
values 66 0.463508606 1.5359242 
values 67 0.463508606 -2.69054031 
values 68 5.84640265 0.130580455 
values 69 23.5438576 -30.618969 
values 70 -2.32853508 -2.2209332 
pop_generation 70 3
values 1 0.463508606 1.5359242 
values 2 -2.32853508 2.00553131 
values 3 0.463508606 -2.69054031 
values 4 0.463508606 -2.69054031 
values 5 -15.8427429 -2.2209332 
values 6 -4.08056259 0.44550705 
values 7 -1.17747688 -4.92537117 
values 8 2.89554596 4.86157608 
values 9 2.89554596 4.86157608 
values 10 5.84640265 0.130580455 
values 11 3.18754959 5.12157822 
values 12 -1.90852928 5.33158302 
values 13 5.44358444 2.64154053 
values 14 2.89554596 9.09163857 
values 15 8.05273247 -5.89258957 
values 16 -1.90852928 9.56164551 
values 17 -11.2543764 1.34552002 
values 18 -9.83632565 9.43764496 
values 19 -14.9527283 3.3335495 
values 20 -10.6304836 5.98190403 
values 21 -13.4607067 6.45759964 
values 22 3.09554672 -16.506752 
values 23 31.9799843 -29.0309448 
values 24 3.2995491 17.3413658 
values 25 32.2575226 21.8437271 
values 26 -32.7680016 3.77755737 
values 27 -4.62057114 18.8177872 
values 28 7.89608002 -23.2488556 
values 29 31.9658318 -3.20503807 
values 30 -19.9680824 -26.6749916 
values 31 -19.9423847 12.6757011 
values 32 -23.7588634 -8.23062706 
values 33 -1.91252899 25.7178955 
values 34 18.6477852 12.1540861 
values 35 32.7680016 -2.86254501 
values 36 2.74925303 -15.3248587 
values 37 -10.4366589 -17.7827721 
values 38 -20.8648186 26.7979088 
values 39 21.2518234 -13.8067112 
values 40 -28.2929325 13.0016975 
values 41 -29.1009445 32.7680016 
values 42 13.6420698 -20.8228188 
values 43 -32.7680016 -1.845842 
values 44 -14.1854067 -24.2148705 
values 45 25.2078857 -1.30651855 
values 46 -19.5487976 -11.2226734 
values 47 13.7437096 -32.1629906 
values 48 18.635788 -14.2826672 
values 49 14.9597282 -28.3869343 
values 50 4.42300844 3.5307405 
values 51 32.7640038 19.7858009 
values 52 23.456995 24.9040604 
values 53 -21.4688282 -24.0148678 
values 54 20.9808044 29.4187927 
values 55 -21.8910561 -7.77679634 
values 56 13.7397118 32.7680016 
values 57 -21.6248322 16.2457466 
values 58 -32.7680016 11.2856712 
values 59 7.89608002 -0.942553818 
values 60 31.976038 -31.4965611 
values 61 18.6477852 31.1819763 
values 62 30.2719612 -32.7680016 
values 63 -1.98224151 0.823638201 
values 64 3.9161222 3.97237611 
values 65 -2.32853508 2.00553131 
values 66 0.463508606 -20.7703781 
values 67 -32.7680016 32.7680016 
values 68 3.18754959 5.12157822 
values 69 32.4538231 -32.7680016 
values 70 23.5438576 -30.618969 
pop_generation 70 4
values 1 -1.98224151 0.823638201 
values 2 0.463508606 1.5359242 
values 3 -2.32853508 32.7680016 
values 4 -2.32853508 2.00553131 
values 5 0.463508606 -2.69054031 
values 6 0.463508606 -15.5261402 
values 7 -4.08056259 -23.5135574 
values 8 -1.17747688 -4.92537117 
values 9 3.9161222 3.97237611 
values 10 2.89554596 4.86157608 
values 11 2.89554596 4.86157608 
values 12 5.84640265 0.130580455 
values 13 3.18754959 5.12157822 
values 14 3.18754959 5.12157822 
values 15 -12.5866928 5.33158302 
values 16 4.42300844 3.5307405 
values 17 5.44358444 2.64154053 
values 18 7.89608002 -0.942553818 
values 19 2.89554596 9.09163857 
values 20 8.05273247 -5.89258957 
values 21 -6.29068613 21.0188599 
values 22 -11.2543764 1.34552002 
values 23 -10.6304836 5.98190403 
values 24 -9.83632565 9.43764496 
values 25 -14.9527283 3.3335495 
values 26 -15.8427429 -2.2209332 
values 27 2.74925303 -15.3248587 
values 28 17.4409924 12.976182 
values 29 3.09554672 -16.506752 
values 30 31.9799843 -29.0309448 
values 31 -21.8910561 32.7680016 
values 32 3.2995491 17.3413658 
values 33 -4.62057114 18.8177872 
values 34 7.89608002 -23.2488556 
values 35 31.9658318 32.7680016 
values 36 -19.9423847 12.6757011 
values 37 -1.91252899 29.653492 
values 38 18.6477852 12.1540861 
values 39 -10.4366589 -17.7827721 
values 40 -20.8648186 26.7979088 
values 41 21.2518234 -13.8067112 
values 42 -14.1854067 -24.2148705 
values 43 0.463508606 -20.7703781 
values 44 -1.98224151 0.823638201 
values 45 -23.7588634 -32.7680016 
values 46 32.7680016 -2.86254501 
values 47 -31.7281857 32.7680016 
values 48 -32.7680016 13.4928923 
values 49 25.2078857 -23.8968658 
values 50 13.6420698 -20.8228188 
values 51 -19.5487976 -11.2226734 
values 52 -19.9680824 -26.6749916 
values 53 13.7437096 -32.1629906 
values 54 18.635788 -14.2826672 
values 55 32.2575226 21.35783 
values 56 -32.7680016 15.3196192 
values 57 14.9597282 -28.3869343 
values 58 4.42300844 -0.495224386 
values 59 -21.4688282 -24.0148678 
values 60 -13.8121996 2.64974856 
values 61 13.7397118 32.7680016 
values 62 7.89608002 3.08341098 
values 63 -21.6248322 16.2457466 
values 64 -32.7680016 11.2856712 
values 65 -4.08056259 0.44550705 
values 66 -12.9506969 -31.4965611 
values 67 18.6477852 31.1819763 
values 68 4.54734325 3.42241096 
values 69 5.31924963 2.74987006 
values 70 -2.31800485 -4.24157 
pop_generation 70 5
values 1 -1.98224151 0.823638201 
values 2 -1.98224151 0.823638201 
values 3 0.463508606 1.5359242 
values 4 -2.32853508 2.00553131 
values 5 0.463508606 -2.69054031 
values 6 -4.08056259 0.44550705 
values 7 -1.17747688 26.0618973 
values 8 3.9161222 3.97237611 
values 9 4.42300844 -10.0966549 
values 10 2.89554596 4.86157608 
values 11 -19.1561203 19.8248863 
values 12 -2.31800485 -4.24157 
values 13 5.84640265 0.130580455 
values 14 3.18754959 5.12157822 
values 15 3.18754959 5.12157822 
values 16 5.31924963 2.74987006 
values 17 4.42300844 3.5307405 
values 18 9.56426525 9.83220482 
values 19 5.44358444 2.64154053 
values 20 7.89608002 -0.942553818 
values 21 7.89608002 3.08341098 
values 22 2.89554596 9.09163857 
values 23 8.05273247 -5.89258957 
values 24 -11.2543764 1.34552002 
values 25 -10.6304836 5.98190403 
values 26 -9.83632565 9.43764496 
values 27 -32.7680016 2.64974856 
values 28 -14.9527283 14.3657227 
values 29 -15.8427429 -2.2209332 
